animal_type,animal_breed,intake_type,outcome,intake_day,intake_month,intake_season,intake_is_weekend
DOGS,PIT BULL,TRANS_INT,LIVE,WEDNESDAY,JANUARY,WINTER,False
DOGS,SIBERIAN HUSKY,STRAY,LIVE,SUNDAY,SEPTEMBER,FALL,True
CATS,DOMESTIC SH,STRAY,LIVE,TUESDAY,JULY,SUMMER,False
CATS,DOMESTIC MH,STRAY,NONLIVE,FRIDAY,APRIL,SPRING,False
DOGS,GREAT DANE,OWNER SUR,LIVE,TUESDAY,JUNE,SUMMER,False
DOGS,MALTESE,STRAY,LIVE,SUNDAY,FEBRUARY,WINTER,True
DOGS,MALTESE,STRAY,LIVE,SUNDAY,FEBRUARY,WINTER,True
DOGS,PIT BULL,TRANS_INT,LIVE,WEDNESDAY,MARCH,SPRING,False
DOGS,CHIHUAHUA SH,PD REQUEST,LIVE,THURSDAY,JUNE,SUMMER,False
DOGS,SHIH TZU,STRAY,LIVE,WEDNESDAY,MARCH,SPRING,False
DOGS,DACHSHUND,STRAY,LIVE,THURSDAY,OCTOBER,FALL,False
DOGS,PIT BULL,STRAY,LIVE,TUESDAY,APRIL,SPRING,False
DOGS,PIT BULL,PD REQUEST,LIVE,FRIDAY,JANUARY,WINTER,False
DOGS,LABRADOR RETR,STRAY,LIVE,TUESDAY,JANUARY,WINTER,False
DOGS,LABRADOR RETR,TRANSFER,LIVE,MONDAY,APRIL,SPRING,False
DOGS,LABRADOR RETR,OWNER SUR,LIVE,SUNDAY,AUGUST,SUMMER,True
DOGS,PEKINGESE,OWNER SUR,LIVE,WEDNESDAY,MARCH,SPRING,False
DOGS,ENG BULLDOG,OWNER SUR,LIVE,SATURDAY,APRIL,SPRING,True
DOGS,LABRADOR RETR,STRAY,LIVE,TUESDAY,OCTOBER,FALL,False
DOGS,GERM SHEPHERD,OWNER SUR,LIVE,WEDNESDAY,JUNE,SUMMER,False
CATS,DOMESTIC MH,EMER EVAC,LIVE,WEDNESDAY,JANUARY,WINTER,False
DOGS,LABRADOR RETR,STRAY,LIVE,FRIDAY,DECEMBER,WINTER,False
DOGS,FRENCH BULLDOG,STRAY,LIVE,SATURDAY,JUNE,SUMMER,True
DOGS,GERM SHEPHERD,TRANS_INT,LIVE,SATURDAY,AUGUST,SUMMER,True
DOGS,LABRADOR RETR,STRAY,LIVE,WEDNESDAY,MARCH,SPRING,False
DOGS,MALTESE,OWNER SUR,LIVE,THURSDAY,DECEMBER,WINTER,False
DOGS,STAFFORDSHIRE,STRAY,LIVE,SATURDAY,NOVEMBER,FALL,True
DOGS,STAFFORDSHIRE,PD REQUEST,LIVE,THURSDAY,OCTOBER,FALL,False
DOGS,ENG SPRNGR SPAN,OWNER SUR,NONLIVE,MONDAY,OCTOBER,FALL,False
DOGS,PIT BULL,TRANSFER,LIVE,WEDNESDAY,FEBRUARY,WINTER,False
DOGS,PIT BULL,TRANSFER,LIVE,WEDNESDAY,MARCH,SPRING,False
DOGS,PIT BULL,OWNER SUR,LIVE,SATURDAY,MAY,SPRING,True
DOGS,BULL TERRIER,STRAY,LIVE,SUNDAY,JUNE,SUMMER,True
DOGS,SIBERIAN HUSKY,STRAY,LIVE,SUNDAY,OCTOBER,FALL,True
DOGS,SIBERIAN HUSKY,STRAY,LIVE,MONDAY,NOVEMBER,FALL,False
OTHER,TURTLE,OWNER SUR,LIVE,FRIDAY,OCTOBER,FALL,False
DOGS,PIT BULL,TRANSFER,NONLIVE,TUESDAY,FEBRUARY,WINTER,False
DOGS,CHIHUAHUA SH,OWNER SUR,LIVE,TUESDAY,JUNE,SUMMER,False
DOGS,LABRADOR RETR,STRAY,LIVE,SUNDAY,JANUARY,WINTER,True
DOGS,PIT BULL,TRANSFER,LIVE,WEDNESDAY,SEPTEMBER,FALL,False
DOGS,PIT BULL,TRANSFER,LIVE,FRIDAY,SEPTEMBER,FALL,False
DOGS,CHIHUAHUA SH,STRAY,LIVE,SUNDAY,MARCH,SPRING,True
DOGS,ALASKAN HUSKY,TRANSFER,LIVE,WEDNESDAY,JUNE,SUMMER,False
DOGS,SHIH TZU,PD REQUEST,LIVE,SATURDAY,OCTOBER,FALL,True
DOGS,QUEENSLAND HEEL,TRANSFER,LIVE,TUESDAY,JULY,SUMMER,False
DOGS,CHIHUAHUA SH,STRAY,LIVE,SATURDAY,SEPTEMBER,FALL,True
DOGS,CHIHUAHUA SH,STRAY,LIVE,TUESDAY,MARCH,SPRING,False
DOGS,CHIHUAHUA SH,PD REQUEST,LIVE,TUESDAY,JULY,SUMMER,False
DOGS,PIT BULL,TRANSFER,LIVE,FRIDAY,JULY,SUMMER,False
DOGS,CHIHUAHUA SH,FOSTER,LIVE,MONDAY,SEPTEMBER,FALL,False
CATS,DOMESTIC SH,TRANS_INT,LIVE,THURSDAY,APRIL,SPRING,False
DOGS,SIBERIAN HUSKY,STRAY,LIVE,SUNDAY,MARCH,SPRING,True
DOGS,DOBERMAN PINSCH,TRANSFER,LIVE,SUNDAY,OCTOBER,FALL,True
DOGS,PIT BULL,TRANSFER,LIVE,THURSDAY,JANUARY,WINTER,False
DOGS,POODLE MIN,PD REQUEST,LIVE,FRIDAY,JANUARY,WINTER,False
CATS,DOMESTIC SH,OWNER SUR,LIVE,THURSDAY,JULY,SUMMER,False
DOGS,GERM SHEPHERD,OWNER SUR,NONLIVE,FRIDAY,MARCH,SPRING,False
DOGS,GERM SHEPHERD,TRANS_INT,LIVE,SATURDAY,JUNE,SUMMER,True
DOGS,ANATOL SHEPHERD,TRANSFER,LIVE,TUESDAY,JUNE,SUMMER,False
CATS,DOMESTIC SH,TRANS_INT,LIVE,WEDNESDAY,JULY,SUMMER,False
DOGS,GERM SH POINT,STRAY,LIVE,MONDAY,OCTOBER,FALL,False
DOGS,GERM SH POINT,STRAY,LIVE,MONDAY,OCTOBER,FALL,False
DOGS,AMER BULLDOG,HOSPITALIZ,LIVE,SATURDAY,JULY,SUMMER,True
DOGS,AMER BULLDOG,STRAY,LIVE,TUESDAY,AUGUST,SUMMER,False
DOGS,AMER BULLDOG,PD REQUEST,LIVE,SUNDAY,FEBRUARY,WINTER,True
DOGS,BORDER COLLIE,TRANSFER,LIVE,TUESDAY,OCTOBER,FALL,False
DOGS,PIT BULL,OWNER SUR,LIVE,FRIDAY,SEPTEMBER,FALL,False
DOGS,PIT BULL,OWNER SUR,LIVE,TUESDAY,JANUARY,WINTER,False
DOGS,TERRIER,TRANS_INT,LIVE,MONDAY,DECEMBER,WINTER,False
DOGS,PIT BULL,OWNER SUR,LIVE,FRIDAY,MAY,SPRING,False
DOGS,POODLE MIN,STRAY,LIVE,SUNDAY,MAY,SPRING,True
DOGS,CATAHOULA,STRAY,LIVE,SUNDAY,MAY,SPRING,True
DOGS,AUST CATTLE DOG,PD REQUEST,LIVE,THURSDAY,DECEMBER,WINTER,False
DOGS,AUST CATTLE DOG,DANGER DOG,LIVE,FRIDAY,APRIL,SPRING,False
DOGS,SIBERIAN HUSKY,TRANSFER,LIVE,TUESDAY,NOVEMBER,FALL,False
DOGS,CHIHUAHUA SH,STRAY,LIVE,SATURDAY,APRIL,SPRING,True
DOGS,SIBERIAN HUSKY,STRAY,LIVE,WEDNESDAY,DECEMBER,WINTER,False
DOGS,SIBERIAN HUSKY,TRANSFER,LIVE,SUNDAY,SEPTEMBER,FALL,True
DOGS,AMERICAN BULLY,OWNER SUR,LIVE,TUESDAY,AUGUST,SUMMER,False
DOGS,AMERICAN BULLY,RETURN,NONLIVE,FRIDAY,DECEMBER,WINTER,False
DOGS,SIBERIAN HUSKY,TRANSFER,LIVE,WEDNESDAY,DECEMBER,WINTER,False
DOGS,PAPILLON,STRAY,LIVE,MONDAY,AUGUST,SUMMER,False
DOGS,BEAGLE,TRANSFER,LIVE,TUESDAY,NOVEMBER,FALL,False
DOGS,SIBERIAN HUSKY,CONFISCATE,LIVE,THURSDAY,OCTOBER,FALL,False
DOGS,PIT BULL,ARRESTED,LIVE,WEDNESDAY,AUGUST,SUMMER,False
DOGS,PIT BULL,STRAY,LIVE,WEDNESDAY,AUGUST,SUMMER,False
DOGS,PIT BULL,RETURN,LIVE,FRIDAY,OCTOBER,FALL,False
DOGS,PIT BULL,TRANSFER,LIVE,TUESDAY,SEPTEMBER,FALL,False
DOGS,PIT BULL,OWNER SUR,NONLIVE,FRIDAY,SEPTEMBER,FALL,False
DOGS,PIT BULL,OWNER SUR,NONLIVE,FRIDAY,SEPTEMBER,FALL,False
DOGS,CHIHUAHUA SH,PD REQUEST,LIVE,MONDAY,APRIL,SPRING,False
